"name","pop","location"
"Dinant","12875","https://www.google.com/maps/?q=50.2581,4.91166"
"Kraainem","12815","https://www.google.com/maps/?q=50.8615,4.46946"
"Blegny","12745","https://www.google.com/maps/?q=50.6726,5.72508"
"Kuurne","12638","https://www.google.com/maps/?q=50.8514,3.2824"
"Grez-Doiceau","12367","https://www.google.com/maps/?q=50.739,4.69829"
"Keerbergen","12363","https://www.google.com/maps/?q=51.0029,4.63434"
"Oud-Turnhout","12354","https://www.google.com/maps/?q=51.3198,4.9841"
"Bocholt","12346","https://www.google.com/maps/?q=51.1734,5.57994"
"Zandhoven","12306","https://www.google.com/maps/?q=51.2149,4.66164"
"Machelen","12252","https://www.google.com/maps/?q=50.9106,4.44174"
"Arendonk","12247","https://www.google.com/maps/?q=51.3227,5.08289"
"Boechout","12145","https://www.google.com/maps/?q=51.1596,4.49195"
"Opwijk","12045","https://www.google.com/maps/?q=50.9672,4.18442"
"Mettet","12014","https://www.google.com/maps/?q=50.3212,4.66232"
"Veurne","11983","https://www.google.com/maps/?q=51.0732,2.66803"
"Liedekerke","11980","https://www.google.com/maps/?q=50.8689,4.08743"
"Rochefort","11978","https://www.google.com/maps/?q=50.1631,5.2216"
"Gerpinnes","11977","https://www.google.com/maps/?q=50.3379,4.52731"
"Kinrooi","11946","https://www.google.com/maps/?q=51.1454,5.74207"
"Kortemark","11937","https://www.google.com/maps/?q=51.0295,3.04112"
"Jodoigne","11930","https://www.google.com/maps/?q=50.7236,4.86914"
"Wommelgem","11917","https://www.google.com/maps/?q=51.2045,4.5225"
"Zelzate","11901","https://www.google.com/maps/?q=51.1896,3.80777"
"Gavere","11888","https://www.google.com/maps/?q=50.9292,3.66184"
"De Haan","11766","https://www.google.com/maps/?q=51.2726,3.03446"
"Beyne-Heusay","11608","https://www.google.com/maps/?q=50.6225,5.66508"
"Laarne","11600","https://www.google.com/maps/?q=51.0308,3.85077"
"Anderlues","11597","https://www.google.com/maps/?q=50.407,4.27136"
"Bernissart","11588","https://www.google.com/maps/?q=50.4746,3.64961"
"Theux","11587","https://www.google.com/maps/?q=50.5332,5.81245"
"Zonnebeke","11581","https://www.google.com/maps/?q=50.8726,2.98725"
"Boortmeerbeek","11570","https://www.google.com/maps/?q=50.9793,4.57443"
"Herk-de-Stad","11566","https://www.google.com/maps/?q=50.9401,5.16636"
"Malmedy","11514","https://www.google.com/maps/?q=50.4269,6.02794"
"Farciennes","11488","https://www.google.com/maps/?q=50.4301,4.54152"
"Profondeville","11401","https://www.google.com/maps/?q=50.3758,4.86506"
"Enghien","11367","https://www.google.com/maps/?q=50.6837,4.03284"
"Deerlijk","11292","https://www.google.com/maps/?q=50.8534,3.35416"
"Virton","11259","https://www.google.com/maps/?q=49.5682,5.53259"
"Nevele","11153","https://www.google.com/maps/?q=51.0353,3.54574"
"Gistel","11084","https://www.google.com/maps/?q=51.1561,2.96387"
"Olen","11070","https://www.google.com/maps/?q=51.1439,4.8598"
"Seneffe","11025","https://www.google.com/maps/?q=50.5313,4.26301"
"Wichelen","11014","https://www.google.com/maps/?q=51.0053,3.97683"
"Meulebeke","10948","https://www.google.com/maps/?q=50.9514,3.28804"
