"name","pop","location"
"Zakopane","27580","https://www.google.com/maps/?q=49.299,19.9489"
"Brodnica","27341","https://www.google.com/maps/?q=53.2597,19.3965"
"Bilgoraj","26987","https://www.google.com/maps/?q=50.5411,22.722"
"Grodzisk Mazowiecki","26684","https://www.google.com/maps/?q=52.1039,20.6337"
"Wyszkow","26628","https://www.google.com/maps/?q=52.5928,21.4584"
"Bielsk Podlaski","26493","https://www.google.com/maps/?q=52.7651,23.1865"
"Lubon","26431","https://www.google.com/maps/?q=52.347,16.8927"
"Zagan","26251","https://www.google.com/maps/?q=51.6176,15.3149"
"Szczytno","26044","https://www.google.com/maps/?q=53.5626,20.9875"
"Kluczbork","25978","https://www.google.com/maps/?q=50.9728,18.2182"
"Walcz","25971","https://www.google.com/maps/?q=53.2779,16.4712"
"Swiecie","25843","https://www.google.com/maps/?q=53.4095,18.4474"
"Jarocin","25665","https://www.google.com/maps/?q=51.9727,17.5026"
"Bartoszyce","25660","https://www.google.com/maps/?q=54.2535,20.8082"
"Pszczyna","25288","https://www.google.com/maps/?q=49.9804,18.9538"
"Sandomierz","25087","https://www.google.com/maps/?q=50.6827,21.749"
"Kabaty","25000","https://www.google.com/maps/?q=52.1301,21.0815"
"Nowa Ruda","24753","https://www.google.com/maps/?q=50.5801,16.5016"
"Wagrowiec","24428","https://www.google.com/maps/?q=52.8084,17.1996"
"Wielun","24384","https://www.google.com/maps/?q=51.221,18.5696"
"Bialogard","24265","https://www.google.com/maps/?q=54.007,15.9875"
"Lubliniec","24133","https://www.google.com/maps/?q=50.669,18.6844"
"Koscian","24096","https://www.google.com/maps/?q=52.0883,16.6487"
"Jawor","23865","https://www.google.com/maps/?q=51.0513,16.1935"
"Skawina","23647","https://www.google.com/maps/?q=49.9752,19.8287"
"Pruszcz Gdanski","23618","https://www.google.com/maps/?q=54.2622,18.6362"
"Kolo","23493","https://www.google.com/maps/?q=52.2002,18.6387"
"Zabki","23473","https://www.google.com/maps/?q=52.2927,21.1054"
"Koscierzyna","23361","https://www.google.com/maps/?q=54.1223,17.9812"
"Prudnik","23343","https://www.google.com/maps/?q=50.3212,17.5746"
"Piastow","23290","https://www.google.com/maps/?q=52.1843,20.8395"
"Swiebodzice","23228","https://www.google.com/maps/?q=50.8597,16.3282"
"Marki","23177","https://www.google.com/maps/?q=52.3206,21.1047"
"Zambrow","22857","https://www.google.com/maps/?q=52.9855,22.2432"
"Lubartow","22839","https://www.google.com/maps/?q=51.4603,22.6095"
"Grajewo","22803","https://www.google.com/maps/?q=53.6473,22.4554"
"Ostrow Mazowiecka","22653","https://www.google.com/maps/?q=52.8024,21.8951"
"Opoczno","22592","https://www.google.com/maps/?q=51.3757,20.2783"
"Goleniow","22505","https://www.google.com/maps/?q=53.5639,14.8285"
